smiles,pka_value,filtered,filter_version
C1=Nc2nccnc2CN1,6.36,True,1.0
C1=Nc2nn(Cc3ccccc3)nc2CN1,5.62,True,1.0
C1CC2CCC1CNC2,10.57,True,1.0
C1CCC(C2CCCCN2)NC1,10.16,True,1.0
C1CCC(C2CCCN2)CC1,10.76,True,1.0
C1CCC(CNCCNCC2CCCC2)C1,10.34,True,1.0
C1CCC(CNCCNCC2CCCCC2)CC1,10.27,True,1.0
C1CCC(N2CCCC2)CC1,3.3,True,1.0
C1CCC(NC2CCCC2)C1,10.93,True,1.0
C1CCC(NC2CCCCC2)CC1,11.25,True,1.0
C1CCC(NCCNC2CCCC2)C1,10.36,True,1.0
C1CCC(NCCNC2CCCCC2)CC1,10.3,True,1.0
C1CCC(NCCNCCNC2CCCCC2)CC1,10.1,True,1.0
C1CCCNCC1,11.07,True,1.0
C1CCCOCC1,-2.02,True,1.0
C1CCN(CCCN2CCCCC2)CC1,9.95,True,1.0
C1CCN(CCN2CCCC2)C1,9.47,True,1.0
C1CCN(CCN2CCCCC2)CC1,9.47,True,1.0
C1CCN2CCNC2=NC1,11.26,True,1.0
C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,11.96,True,1.0
C1CCNC1,11.27,True,1.0
C1CCNCC1,11.963,True,1.0
C1CCOC1,-2.08,True,1.0
C1CCOCC1,-2.79,True,1.0
C1CCSC1,-4.52,True,1.0
C1CCc2c(nnc3c2CCCC3)C1,6.12,True,1.0
C1CN(CCN2CCOCC2)CCO1,6.65,True,1.0
C1CN2CCC1CC2,11.49,True,1.0
C1CN2CCCN2C1,6.0,True,1.0
C1CN2CCN1CC2,8.19,True,1.0
C1CN2CCNC2=N1,10.6,True,1.0
C1CN=C2NCCCN2C1,11.22,True,1.0
C1CN=C2NCCN2C1,11.22,True,1.0
C1CNC1,11.29,True,1.0
C1CNC2CNCCC2C1,10.16,True,1.0
C1CNC2NCCCC2C1,9.36,True,1.0
C1CNCCN1,9.82,True,1.0
C1CNCCNC1,10.65,True,1.0
C1CNCNC1,9.75,True,1.0
C1COC(CNCCNC2CCCO2)C1,9.22,True,1.0
C1COC(NC(C2CC2)C2CC2)=N1,9.22,True,1.0
C1COCCN1,8.33,True,1.0
C1COCCO1,-2.92,True,1.0
C1CSCCN1,9.0,True,1.0
C1CSCN1,6.22,True,1.0
C1N2CN3CN1CN(C2)C3,5.18,True,1.0
C1NCC2CNCC1C2,11.29,True,1.0
C1NCC[C@@H]2CCCC[C@@H]12,11.32,True,1.0
C1NCC[C@@H]2CCCC[C@H]12,11.35,True,1.0
C1[C@H]([C@@H](CC2=CC=CC=C12)N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,2.2,True,1.0
C=C(Br)C=CC1(C(C)C)C(=O)N(CCN2CCOCC2)C(=O)N=C1O,4.98,True,1.0
C=C(Br)CC1(C(C)C)C(=O)NC(=O)NC1=O,7.72,True,1.0
C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,7.71,True,1.0
C=C(Br)CC1(C(CC)CC)C(=O)NC(=O)NC1=O,7.7,True,1.0
C=C(Br)COc1noc2c1CNCC2.Cl,7.6,True,1.0
C=C(C(=O)OC1C[C@@H]2[C@H]3O[C@H]3[C@H](C1)N2C)c1ccccc1,7.72,True,1.0
C=C(C)C(=O)O,4.65,True,1.0
C=C(C)C(=O)OCCN1CCCCC1,8.35,True,1.0
C=C(C)CC(=O)OC(C)N1CCCCC1,8.37,True,1.0
C=C(C)CC1(CC(C)C)C(=O)NC(=O)NC1=O,7.79,True,1.0
C=C(C)CC1(CC(C)CC)C(=O)NC(=O)NC1=O,7.98,True,1.0
C=C(C)CC1(CCC)C(=O)NC(=O)NC1=O,7.82,True,1.0
C=C(C)CCN(C1=NCCN1)c1c(Br)cccc1Br,10.9,True,1.0
C=C(C)CN(C1=NCCN1)c1c(Br)cccc1Br,10.71,True,1.0
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCC)c(C(=O)O)c1O,2.91,True,1.0
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)c(C(=O)O)c1O,2.91,True,1.0
C=C(C)[C@@H]1CC[C@]2(CNCCCN3CCS(=O)(=O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.5,True,1.0
C=C(C)[C@H]1CC=C(C)C(=O)C1,-2.92,True,1.0
C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,2.1,True,1.0
C=C(C)c1ccc(C(=O)O)cc1,4.04,True,1.0
C=C(C)c1ccccc1OC(C)C1=NCCN1,7.0,True,1.0
C=C(CC(=O)O)C(=O)O,3.629,True,1.0
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.1,True,1.0
C=C(CCCC)C(=O)O,4.8,True,1.0
C=C(CP(=O)(O)O)CP(=O)(O)O,6.45,True,1.0
C=C(F)C(N)CCC(=O)O,8.32,True,1.0
C=C(F)CN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,True,1.0
C=C(OP(=O)(O)O)C(=O)O,3.4,True,1.0
C=C1CCCN(C)C1,9.31,True,1.0
C=C1CCN(C)C(C)C1,9.25,True,1.0
C=C1CCN(C)CC1,9.03,True,1.0
C=C1CCN(C)CC1C,9.09,True,1.0
C=C1CCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)C1,7.7,True,1.0
C=C1CCN2CC[C@@H](O)C12,9.4,True,1.0
C=C1c2ccccc2C(=O)c2ccccc21,-3.4,True,1.0
C=C=CC(=O)O,3.69,True,1.0
C=C=Cc1c(C)nc(NC)nc1C,4.85,True,1.0
